tex_content,chapter,textbook,page,isbn_10,isbn_13
"$\begin{array}{ll}
    1.& \displaystyle{
        \lim_{x \to \infty}{ \dfrac{x^3}{e^x} }
    }
\end{array}$",1,,,,
"$\begin{array}{ll}
    2. & \displaystyle{ \text{If } f(x) = \dfrac{x^2-4}{x-2} } 
    \\\\
    &\displaystyle{ (a)\; \lim_{x \to 0} f(x) = \underline{\qquad} } 
    \\\\
    &\displaystyle{ (b)\; \lim_{x \to 2} f(x) = \underline{\qquad} } 
    \\\\
    &\displaystyle{ (c)\; f(2) = \underline{\qquad} } 
\end{array}$",1,,,,
"$\begin{array}{ll}
    3. & \displaystyle{ 
        \lim_{x \to 0}{ \dfrac{ \sqrt{1+x} - \sqrt{1-x} }{ x } }
        = \underline{\qquad}
    }
\end{array}$",1,,,,
"$\begin{array}{ll}
    4. & \displaystyle{
        \lim_{x \to -\infty}{ \left({ \sqrt{x^2+x}-\sqrt{x^2-x} }\right) }
        = \underline{\qquad}
    }
\end{array}$",1,,,,
"$\begin{array}{ll}
    5. & \displaystyle{ 
        \lim_{x \to \frac{\pi}{4}}{ \cos{(\sin{x})} }
        = \underline{\qquad}
    }
    \\
\end{array}$",1,,,,
"$\begin{array}{ll}
    1. & \displaystyle{
        \text{Find $\lim_{x \to 0}{ \dfrac{[x]}{x} }$, where [x] is Gaussian Function}
    } 
    \\
\end{array}$",1,,,,
"$\begin{array}{ll}
\displaystyle{
    \lim_{x \to 1}{ e^{x^3-x} }
}
\end{array}$",,Calculus: Early Transcendentals,167,1285741552,9781285741550
"$\begin{array}{ll}
    1.& \displaystyle{
        \text{
            Find an equation for the line tangent 
            to the circle $x^2+y^2=25$ at the point $(3,4)$.
        }
    }
\end{array}$",2,,,,
"$\begin{array}{ll}
    2. & \displaystyle{
        \text{$f(x)=x|x|$, $f'(0) = \underline{\qquad}$}
    } 
\end{array}$",2,,,,
"$\begin{array}{ll}
    3. & \displaystyle{ 
        \text{
            Find $\dfrac{dy}{dx}$ if $y = \dfrac{\sin{x}}{x}$
        }
    }
\end{array}$",2,,,,
"$\begin{array}{ll}
    4. & \displaystyle{ 
        \text{
            If $g(x)$ is the inverse function of $f(x) = 3x^5+2x+1$, 
            please find g'(6).
        }
    } 
\end{array}$",2,,,,
"$\begin{array}{ll}
    5. & \displaystyle{ 
        \text{
            If $y = (f(x)+3x)^2$, $x=t^3-2t$. If $f(4) = 6$ and
            $\left.\dfrac{dy}{dx}\right|_{t=2} = 180$, find $f'(4).$
        }
    }
    \\
\end{array}$",2,,,,
"$\begin{array}{ll}
    1. & \displaystyle{
        \text{
            Proof that $\dfrac{d}{dx}{\left({ \ln{x} }\right)} = \dfrac{1}{x}$
        }
    } 
    \\
\end{array}$",2,,,,
"$\begin{array}{ll}
    2. &\displaystyle{
        \text{
            Proof that 
                $\dfrac{d}{dx}{\bigg(f(x) \cdot g(x) \bigg)} 
                = f'(x) \cdot g(x) + f(x) \cdot g'(x)$
        }
    } 
    \\
\end{array}$",2,,,,
"$\begin{array}{ll}
    1.& \displaystyle{
        \lim_{x \to \infty}{ \dfrac{x^3}{e^x} }
    }
\end{array}$",3,,,,
"$\begin{array}{ll}
    2. & \displaystyle{
        \text{
            If $\left\{ \begin{array}{lll}
                x & = & \theta - \sin{\theta}
                \\
                y & = & 1 - \cos{\theta}
            \end{array} \right. $, then $\dfrac{dy}{dx} = \underline{\qquad}$
        }
    } 
\end{array}$",2,,,,
"$\begin{array}{ll}
    3. & \displaystyle{ 
        \lim_{x \to \infty}{ \dfrac{\ln{x}}{x^3} } = \underline{\qquad}
    }
\end{array}$",3,,,,
"$\begin{array}{ll}
    4. & \displaystyle{ 
        \lim_{x \to 0}{ (x+e^{\frac{x}{3}})^{\frac{3}{x}} } = \underline{\qquad}
    } 
\end{array}$",3,,,,
"$\begin{array}{ll}
    5. & \displaystyle{ 
        \text{
            What is the interval of $f(x) = x^3e^x$ strictly increasing?
        }
    }
    \\
\end{array}$",3,,,,
"$\begin{array}{ll}
    1. & \displaystyle{
        \text{Draw $f(x)$ if $f(x) = x+\dfrac{1}{x}$}
    } 
    \\
\end{array}$",3,,,,
"$\begin{array}{ll}
\text{1. Are the following limits exist?}
\\\\
    \begin{array}{ll}
    \text{(a)} & \displaystyle{
        \lim_{(x,y)\to(0,0)} \ln{(1+x^2y^3)}
    }
    \\\\
    \text{(b)} & \displaystyle{
        \lim_{(x,y)\to(1,1)}{ \dfrac{x-y^4}{x^3-y^4} }
    }
    \\\\
    \text{(c)} & \displaystyle{
        \lim_{(x,y,z)\to(0,0,0)}{ \dfrac{yz}{x^2+y^2+z^2} }
    }
    \\\\
    \text{(d)} & \displaystyle{
        \lim_{(x,y)\to(1,1)}{ \frac{2xy}{x^2+y^2} }
    }
    \end{array}
\end{array}$",8,,,,
"$\begin{array}{ll}
\text{5. Find the area enclosed by }
x=y^2
\text{ and }
4x-3y=1
\end{array}$",6,,,,
"$\begin{array}{ll}
\text{If } F 
\text{ is differentiable on } \mathbb{R}
\text{, then by substitution, }
\\\\
\displaystyle{
    \int^{b}_{a} 2xF'(x^2) \;dx
    = [F(b)-F(a)]
}
\end{array}$",5,,,,
"$\begin{array}{ll}
\displaystyle{
    \int \frac{ \sqrt{x^2-4} }{x^2} dx
    = \underline{\qquad}
}
\end{array}$",4,,,,
"$\begin{array}{ll}
\text{1. Find the } \textbf{radius of convergence} \text{ of the following series.}
\\\\
\displaystyle{
    \text{(a) }\sum_{n=2}^{\infty} { \frac{1}{n\ln{n}} \left( \frac{x}{2}-1 \right)^n }
}
\end{array}$",7,,,,